user_id,item_list,item_values
28,14827 11500 21699 18935 16668 20571 11337 1166 5735 14736,"[3.5764892875856784, 3.517327731386405, 3.4117425694794354, 3.406905856257103, 3.393224386896785, 3.387638878303969, 3.363906356712557, 3.3615752538031134, 3.3608291955443144, 3.3450303253071754]"
29,18935 11337 21699 6339 8446 12016 19654 8027 6267 11500,"[3.684923924364577, 3.6521081036178877, 3.6494139865540185, 3.623489986019188, 3.6191823610700453, 3.610765169939963, 3.5988449564131715, 3.580830690638062, 3.579569650724977, 3.5254264720558504]"
30,11212 19327 7921 19654 21699 6267 22299 12016 1130 9823,"[3.971219606416296, 3.9518593198735052, 3.9432997013569406, 3.9227428316098667, 3.897001542962909, 3.8871056005008993, 3.8748863290441813, 3.8676730615260193, 3.8651610396044984, 3.862142426739425]"
31,11212 13600 20027 15500 8175 11500 21926 18039 21699 6260,"[5.067681381703827, 5.039224828714715, 5.030800710299423, 4.995225696645993, 4.987222795760077, 4.977855431060559, 4.960976772171235, 4.958837632710309, 4.9262570773848715, 4.897702762269132]"
32,18935 18039 11500 10297 13607 1671 17570 11212 10749 13600,"[3.819770790223391, 3.806256570390781, 3.731684154920632, 3.7156999644852746, 3.699699915479377, 3.6974168412236312, 3.679442312736805, 3.6759624600243535, 3.6553795296552676, 3.653188019170013]"
33,12016 18039 11212 17279 13931 6267 10297 13600 7921 12758,"[2.865577839536179, 2.8145315687666606, 2.8022522277535384, 2.7835229719561934, 2.7782716752782304, 2.7714799983802343, 2.7639370357493362, 2.7499376187271474, 2.7335641789434013, 2.720089021250972]"
34,6267 15500 12016 13600 18940 7921 10082 8016 1966 6866,"[2.613465739908232, 2.6111021350697254, 2.6097645239961618, 2.572875477696661, 2.5635616930402954, 2.5306032835661183, 2.525437807924328, 2.5167428454549765, 2.506315731512167, 2.500977953616699]"
35,8116 4138 12016 22314 13600 18039 12758 11689 6267 5279,"[3.802648528067582, 3.7734389796858108, 3.752831382839978, 3.727018479970314, 3.72687089734679, 3.714147647532286, 3.6920076914763076, 3.669347316744914, 3.659258113687259, 3.6469806136306495]"
36,12841 15238 19484 6866 4259 21605 16491 6957 12906 16999,"[2.7565426419451375, 2.6285099410780064, 2.6113575676097276, 2.6043336192278366, 2.599432326398408, 2.5990383371798353, 2.584404670524575, 2.5802066372430392, 2.5732817953864258, 2.5577693598122644]"
37,18935 15500 16087 21992 6752 11412 1671 8175 15694 13607,"[4.234820319887472, 4.197698743590422, 4.187609011230279, 4.156286650808711, 4.155628048119515, 4.129918314698722, 4.1254157882195885, 4.125189032172998, 4.106904127566582, 4.0890815926113415]"
38,4944 15926 17033 14194 13838 9075 18075 21699 2558 20402,"[3.1709124472414665, 3.159790801508033, 3.1346225674229697, 3.104571260815742, 3.085709060245533, 3.0679196832055795, 3.0541873769067034, 3.047963147555607, 3.023558492085912, 3.0061510234701765]"
39,21699 3657 11500 8446 6339 14827 8911 10895 9404 12176,"[2.3142191782035875, 2.3105892694614454, 2.2787767847034095, 2.2770307500942386, 2.2613546196405276, 2.2581750003024434, 2.2419248221059918, 2.2294377405815804, 2.171265470231312, 2.171180440912617]"
40,14914 19654 13585 4944 12802 17311 8552 2558 12016 22178,"[1.9855436368351305, 1.9672995893471528, 1.9619125473547256, 1.955643190741166, 1.949373660949225, 1.9416737250444418, 1.930165322672241, 1.9237225750577662, 1.9153484633732731, 1.9123027091859741]"
41,21699 4884 11500 8266 19327 20027 11212 11182 12688 8446,"[3.8968538116890903, 3.8474790653904716, 3.8416501487916226, 3.809742020899981, 3.787644615157916, 3.7798354096988485, 3.756277515291911, 3.7480350033612577, 3.7383232569428904, 3.7367134972591005]"
42,16763 12917 16701 15500 7128 21699 16228 8913 8128 11786,"[3.2614543858261213, 3.1594791624195917, 3.1264986363614686, 3.0770556677424494, 3.0651300972066617, 3.0366423171978854, 3.0114704249576034, 2.995871507806038, 2.994771145352511, 2.9945251158100588]"
43,18039 12016 11212 19654 20402 6267 10297 6168 13931 18935,"[3.299073550561052, 3.298969387102033, 3.272749438125569, 3.2587374876280837, 3.2587295001621843, 3.2292777343389947, 3.211733811292671, 3.206481456819995, 3.1948410248244814, 3.1933049702252756]"
44,12016 11500 11212 18039 10297 6267 13600 7921 18719 21699,"[4.621103514761166, 4.6040736762762915, 4.583974139413432, 4.577510939202248, 4.547937391059401, 4.511778783536224, 4.506120959161881, 4.429331604493689, 4.418666058945321, 4.4068845982212945]"
45,17631 11212 20068 15500 1671 12052 11412 21992 15947 5428,"[3.38377268418094, 3.3789905808756457, 3.370358190588948, 3.365009729119433, 3.358855738380784, 3.3478019107245887, 3.319310566631715, 3.317264051590601, 3.3171908908333254, 3.311946645538314]"
46,9207 8644 12688 12588 13817 20161 18428 20592 6022 8949,"[3.3247325557043523, 3.2604100227085744, 3.2495916143761896, 3.2357513959032507, 3.221449971371988, 3.1568086538078246, 3.1533253393523455, 3.145554151983487, 3.1427341797781736, 3.140129473117746]"
47,11412 13607 6752 17522 8134 3402 14749 20140 21992 6131,"[2.5286695056372386, 2.3990898690228635, 2.3705308769695774, 2.328724325328048, 2.316158317288685, 2.280354031082212, 2.278239505497819, 2.276480578585658, 2.2762408737140603, 2.275122871926995]"
48,6022 19564 21699 1961 11920 19327 15926 15500 11817 479,"[4.170535296863145, 4.168147526286516, 4.167037289505503, 4.0401142329815345, 4.032694232752899, 4.028887164681194, 4.028530018679734, 4.00360454212767, 3.9986424434886065, 3.9841416566600723]"
49,6723 10195 18039 6168 5793 17311 10297 13871 10749 6022,"[2.7504142876273248, 2.7209385437939475, 2.7069027910871917, 2.6984509475989547, 2.6186652220386737, 2.598854721686614, 2.5964803723602534, 2.5896954580113385, 2.5732639843619647, 2.5582370723820143]"
50,12016 6267 20402 19654 6866 15926 6922 8016 17248 17033,"[3.3675281356825915, 3.319953256056287, 3.2895407846024547, 3.2677885648227294, 3.255091540708762, 3.2402709241992578, 3.238550640263031, 3.2361702071125853, 3.222706586719322, 3.2207798039850535]"
51,15500 1786 6260 20027 17296 12032 10025 20289 13082 17127,"[2.599201325745895, 2.5751316616941917, 2.570036889180557, 2.5698887310873832, 2.568666142644071, 2.5421176222749944, 2.5213783817812847, 2.516302342298778, 2.514335665701288, 2.498305807153495]"
52,15500 21644 8544 12648 6260 10967 10749 12032 21526 17478,"[3.2648799635474393, 3.253013361300498, 3.2329541931667105, 3.156127023071946, 3.1198477099972886, 3.1142892162077307, 3.1121763645576235, 3.109872484364757, 3.108881380785143, 3.1014337391082623]"
53,18039 13600 10297 15500 10749 16763 9404 21699 12016 17570,"[4.729213932995239, 4.7038927101870724, 4.616317509921921, 4.599923404810245, 4.590502925889177, 4.556247510456937, 4.547314136289113, 4.523903076678244, 4.517597020370727, 4.4868427790220595]"
54,8175 11212 11500 13607 11337 11412 19654 18935 9246 20161,"[4.027242468925908, 3.963558046920059, 3.9358955502334245, 3.9259672232470284, 3.9238737208808807, 3.905705190499972, 3.8733017917142045, 3.8614312780876086, 3.856981663878084, 3.8567699927033092]"
55,13600 18039 12016 19654 6267 21699 21926 8175 11500 11212,"[6.125748732591058, 6.116512780798504, 6.090695912746919, 6.079695836652282, 6.078786821125895, 6.0704748905869055, 6.037535105840086, 6.033819572167388, 6.0300746895482975, 6.005907133888315]"
56,9440 18741 18281 15926 20402 12016 6922 6790 8913 6840,"[2.142897771549678, 2.0371025965598917, 2.0247233417495045, 2.006798555131053, 2.004270578449171, 2.0015066031960984, 1.9951960799364559, 1.9811853290927914, 1.9777143711975655, 1.974095294737793]"
57,8175 21926 13261 20027 6855 4944 12758 13711 18726 6645,"[3.2327062829978503, 3.130257969408068, 3.082549311236492, 3.076401645264795, 3.060278335374092, 3.0600301122099665, 3.048622186711741, 3.048559026738911, 3.0460614165409376, 3.0416897040861937]"
58,7921 17452 11150 6131 17889 9823 19327 1854 2156 4757,"[2.6503247661011766, 2.524704619292738, 2.5195100731542577, 2.5155992616657925, 2.4927779385307263, 2.47436274677425, 2.4698983243523163, 2.4616588749377977, 2.446034685111958, 2.4282899684193575]"
59,18409 5246 20027 22208 8266 13479 8175 4506 17026 18911,"[2.4817676037086116, 2.450935506330417, 2.4359432261092167, 2.428820076103708, 2.41620315722076, 2.4054270364307384, 2.3760979760674092, 2.3749585018843407, 2.374532737542992, 2.373839585702503]"
60,20402 1671 18935 12032 11212 11500 8544 17033 13607 13600,"[5.981318481030605, 5.9445007179288085, 5.874928521069562, 5.856469120145404, 5.832629897681886, 5.800821813703493, 5.739510961619591, 5.680979605909033, 5.668385780835967, 5.66424877792879]"
61,21699 12016 8446 11500 4884 13729 21926 8175 11212 6267,"[5.238155808176642, 5.091886505843328, 5.055555579777014, 5.022894738640532, 4.970510603702305, 4.945414375725416, 4.934533163711368, 4.931752042057012, 4.925900537970071, 4.898608763788594]"
62,15694 18935 15500 7342 16087 17261 1933 18661 21128 6752,"[3.260136118223439, 3.248597565734562, 3.2039685792455703, 3.2003643336070384, 3.179233383262053, 3.174322191249587, 3.143800865646206, 3.142221566929833, 3.1349007340438337, 3.1151227711727096]"
63,12016 18719 6267 14790 11500 18039 10297 11212 20402 7574,"[3.204520650355571, 3.098741493745621, 3.0546857497018536, 3.0511762636683253, 3.043238443475855, 3.042047999164645, 3.0414038965905816, 3.0376193948490764, 3.0311991755825725, 3.0038734651487697]"
64,7780 7657 12032 1933 12176 12483 19267 20608 18661 1563,"[2.2346993462743843, 2.2228820121605404, 2.1708490195017593, 2.1321520319491016, 2.106981063269071, 2.1010508643612895, 2.0945861474879264, 2.088339901183182, 2.0485171068596837, 2.026247485330689]"
65,21699 19564 11500 13600 15500 9404 17209 13729 18039 6022,"[5.089490678523312, 5.037910420005073, 4.987115054885455, 4.97706355569223, 4.942639141113693, 4.932773490044173, 4.930733838618116, 4.912761230741987, 4.897661563896079, 4.882771793255056]"
66,7921 6267 18039 12016 17889 6168 19654 20027 10297 13600,"[4.938462200924143, 4.8324490489412595, 4.830140974811843, 4.804686356352479, 4.788530076251216, 4.786760953198215, 4.7645652227274855, 4.748015452741554, 4.731673412549009, 4.7164062545335455]"
67,18935 11500 20161 11337 21779 6880 18940 11212 10297 12016,"[2.015194978235246, 2.015013575116328, 1.990464427557673, 1.9808549940785567, 1.9671916950690163, 1.9668029241241678, 1.957658906772633, 1.95679474594924, 1.9536199646802905, 1.9516950710003942]"
68,6168 18039 10297 17311 13585 16999 10749 20602 6723 7595,"[2.5709630475372434, 2.560998090985982, 2.4409962525777855, 2.4312308758767385, 2.4212007817015895, 2.4028583260939307, 2.377752236834815, 2.3772575884003984, 2.3687939843665, 2.35105642937841]"
69,16763 16701 8911 12917 20027 14006 4652 19155 14397 6752,"[3.2954320346515673, 3.2665326660241756, 3.262713404821276, 3.2162355189754033, 3.1940965990405954, 3.1913336342535503, 3.177462456771391, 3.174339407435668, 3.1732571245603243, 3.1684552935099095]"
70,8544 18935 21644 17261 17570 12032 12648 15694 10211 15500,"[2.1761823813927736, 2.120642349631187, 2.07249769136428, 2.0640956652809392, 2.0472286353287212, 2.04514419156902, 2.0399442134483268, 2.0090191468938303, 2.0056313518722484, 1.997683346576292]"
71,11500 10297 12016 11212 10749 18039 21699 19452 18719 4884,"[5.3817405264573255, 5.2817046358653315, 5.254567792474393, 5.195667599911634, 5.182986499058389, 5.179568029364682, 5.155931082621076, 5.154825167452054, 5.142539947811548, 5.13834987970821]"
72,7921 17452 5793 6131 19654 1854 6022 12802 6723 10195,"[3.2496954584358897, 3.1347102471420993, 3.0966544415658506, 3.09598675534558, 3.079405186591862, 3.0747829278021013, 3.066392401751726, 3.0644798090239367, 3.058775940581292, 3.05737454387638]"
73,20027 21926 4884 21699 8266 18911 13600 15466 18039 15500,"[4.055238955503646, 4.00346091700822, 3.9869244122634577, 3.9414303851089114, 3.9356711413056673, 3.9280092945937803, 3.9157745056086855, 3.9028668034508964, 3.900974691297976, 3.8959616194092113]"
74,12016 21699 15926 6840 8446 6267 15500 9075 13729 17248,"[3.5816188992167297, 3.5716630019190188, 3.5440516431945692, 3.493706364334409, 3.4915800668051795, 3.467106491235962, 3.4463679257781665, 3.4273366610381086, 3.4226141358628697, 3.4214720556443203]"
75,14914 2558 19564 9440 18189 15673 21699 16595 2424 15092,"[1.9484319761473172, 1.945129745518457, 1.9124076083101276, 1.906902710495948, 1.8945601917268666, 1.8721425931366427, 1.8672976970243462, 1.8575994680748635, 1.856019826147288, 1.8468539935060333]"
76,14827 11337 11500 1166 9200 12016 8446 21699 13607 6339,"[2.1930064165226892, 2.117724231591876, 2.079068800390896, 2.0772505538702988, 2.0661793790577567, 2.0537510722064627, 2.0444059116743882, 2.041410989191929, 2.0319117970750264, 2.0157590179779845]"
77,11500 21926 18935 12032 21699 6339 1671 11212 10025 9404,"[3.2795099062964903, 3.2368820470774295, 3.213528016912032, 3.208194179056915, 3.2059233007340513, 3.2037979967507195, 3.2017185582319265, 3.1971056897268566, 3.1947199701238755, 3.1865082682943275]"
78,21699 12802 2424 14827 20767 13607 4894 9079 19564 19327,"[2.2859734963838845, 2.2401190766904264, 2.2025755632214548, 2.1982485113569306, 2.195261076765295, 2.193392093402082, 2.1840368478267966, 2.1824739462942317, 2.1777897818459144, 2.177751362723528]"
79,8446 13254 6267 12906 15500 11500 20027 10025 12016 8041,"[2.4158785890672716, 2.3832127164891155, 2.368166328749299, 2.3653179581658623, 2.3626300179144315, 2.352636704461515, 2.345890266166472, 2.3455021163107994, 2.3392398620878154, 2.338676967802216]"
80,2424 13607 4894 12802 19564 1671 18935 21699 6339 20140,"[4.363223496676268, 4.321493555801107, 4.312680176462613, 4.310084508183309, 4.216483043748337, 4.192663117376855, 4.169537596806496, 4.168765019855272, 4.163164650401922, 4.149314491943348]"
81,17717 11212 8175 15500 18661 10058 21779 20402 18940 17033,"[3.045980221338072, 2.999995351579487, 2.9875512403752986, 2.968129746009605, 2.966832791470383, 2.964078536785793, 2.956029586926172, 2.950423768496861, 2.9286721234132878, 2.92783053693134]"
82,8175 15500 18935 11500 8446 10025 1130 18661 8041 21699,"[4.081882752291603, 3.9416678325856074, 3.9183894214014297, 3.91657997425455, 3.911273347905468, 3.904661137512111, 3.897195575736035, 3.8791379275131357, 3.863694018611747, 3.8522639678389172]"
83,18935 20161 11337 11500 21699 19654 1130 12016 11212 6267,"[4.477853421942609, 4.39788799020351, 4.393403787624621, 4.379643641075405, 4.370959909473246, 4.363599096219143, 4.340334072831917, 4.338521881018452, 4.313334646219561, 4.305608254666168]"
84,21717 2558 9440 12369 5279 21514 4944 14362 15760 17536,"[2.6545556278390046, 2.5874845588159774, 2.568376305503347, 2.5576778072847164, 2.541878153765424, 2.539307416255827, 2.4834859033332934, 2.4686320754622857, 2.4604749518736333, 2.4564753710453644]"
85,11412 13607 6752 16087 22178 20140 8266 13261 10524 1671,"[3.0940761398953036, 3.040250289745572, 2.9919066562300958, 2.9290779439535393, 2.9082572242238243, 2.905452662916376, 2.9027378407755844, 2.900138799386012, 2.8866156753974117, 2.8853643122895067]"
86,18935 8544 11920 11500 1671 17570 20402 11212 6880 16528,"[4.0718070883443165, 3.970191828238858, 3.9343532013917493, 3.9225298585678456, 3.8705896100751667, 3.8573987259858518, 3.8556649937970486, 3.8385871243873306, 3.8153534714023922, 3.81283164646888]"
87,11500 18935 15500 4884 11212 21699 6260 4221 10025 10617,"[4.230442302564265, 4.1669878634320785, 4.103683755422984, 4.086192711750264, 4.082042709777091, 4.060436784785676, 4.033599936172009, 4.033595467674387, 4.029209699541907, 4.017173510201412]"
88,6880 11500 9075 21658 6182 20571 13817 10617 8667 7970,"[2.526134017091223, 2.46979707688974, 2.45063587845903, 2.450327729256032, 2.439807618729849, 2.4377251079313997, 2.428826871106628, 2.4238569066107316, 2.419532043026402, 2.4129881339642987]"
89,6874 17209 9440 12032 19323 7657 9404 22095 9384 21252,"[2.2121372136154958, 2.190763501030051, 2.189150568989745, 2.1675890965291984, 2.1561176686068895, 2.1517262383524347, 2.145215073591814, 2.1254683405594554, 2.119014166582668, 2.1113857543744885]"
90,8175 18661 12176 12032 11212 11500 10025 15500 13254 7780,"[3.928237267506013, 3.853286355168504, 3.832723750058966, 3.775778368327972, 3.7724126268722245, 3.7704595439277537, 3.749056523498567, 3.745299267948284, 3.6932148555095616, 3.690946672448646]"
91,15500 7921 13600 9823 17889 17478 6260 20027 6022 15052,"[3.5244687447973817, 3.5073882750299434, 3.46118693929203, 3.446433792161708, 3.420043872989786, 3.404072549561297, 3.4034617782593584, 3.4003477033050458, 3.400145203860595, 3.3906301923908884]"
92,20402 12016 18039 6922 15926 9440 12099 10297 18281 14194,"[1.9871909178450426, 1.9866628334974648, 1.9724897472409422, 1.942142601611826, 1.9400203996894736, 1.938008587223812, 1.9365788436739622, 1.9334183955734385, 1.9122552018006287, 1.9063971103594437]"
93,8446 11337 12016 21699 6267 13871 6339 13857 12019 2820,"[2.3547468385036265, 2.3457669537264896, 2.3277222158058843, 2.29647057979304, 2.28684200351301, 2.282954215518841, 2.2826682308259625, 2.259346411295966, 2.2543751522448656, 2.245472492761296]"
94,2795 18935 6339 13607 16528 3482 6752 11500 4065 21699,"[2.7149782014002857, 2.688008051212137, 2.6311872743193514, 2.5887399654320493, 2.5878184252272214, 2.5755321562702194, 2.5673855027065877, 2.5073098998705334, 2.50625666966351, 2.497685450540834]"
95,11412 13607 18935 6752 21992 1671 16087 11212 8175 20140,"[3.263083987801604, 3.221098259432334, 3.199280154424142, 3.1944444580935643, 3.1188454571198156, 3.1122376729976127, 3.0956962342532317, 3.057918315848631, 3.0508730474275607, 3.0428977719262256]"
96,18039 13600 17570 12016 10082 6267 10297 10993 20402 18281,"[4.38537867012248, 4.32182130687364, 4.301061096402637, 4.25128692393327, 4.233336191616246, 4.194038130971577, 4.1932077928244595, 4.1709509029956156, 4.149337610932586, 4.1415018790876035]"
97,12016 11500 20402 18039 11337 14827 18935 10082 18719 1166,"[3.2375150171332447, 3.14075564864316, 3.1267927807636307, 3.117056089022709, 3.1135451199413913, 3.0993744717127574, 3.094019977466547, 3.0868961752025914, 3.086187736464143, 3.0767616081509943]"
98,8175 21699 21926 13600 13729 20027 15500 11212 9404 16763,"[4.298976456918955, 4.285937830133301, 4.285428315060891, 4.250547545463653, 4.240088470240037, 4.238125999756979, 4.2226305605104955, 4.1919643690184625, 4.176412094113323, 4.1694013298798325]"
99,15500 12906 10082 10025 12032 13600 15238 10058 16763 21644,"[3.4673759384754907, 3.4116221279821506, 3.404478980038439, 3.383933813499855, 3.3832095230681563, 3.3751568180900704, 3.3576554808440986, 3.343594694018246, 3.3401145616172645, 3.3343940622198494]"
100,18935 6339 11500 21699 14827 13607 11337 8446 1671 3482,"[3.3633616007517286, 3.3100396227026625, 3.299614069469929, 3.2203900517219144, 3.1945673715868024, 3.1828863924482222, 3.182858960797341, 3.1568906140354196, 3.132114291821394, 3.1277485514012486]"
101,15500 18935 12648 15694 10058 21992 8913 6840 17570 17261,"[3.5302846030734587, 3.4447378044200403, 3.4413701902524654, 3.4125265822188124, 3.4104066911277684, 3.3458860509173705, 3.338737205681084, 3.337735545024625, 3.335173726750643, 3.321683726859707]"
102,5763 14648 5246 21029 2871 17026 18409 7342 14392 16087,"[2.2594172978258134, 2.248404210322852, 2.2389006340633033, 2.2053345709581804, 2.2007311564779912, 2.197545297089475, 2.1949234912735314, 2.175329557508111, 2.146709550370557, 2.1414749149502224]"
103,10895 22162 16763 21252 7128 18189 8911 21699 19564 21926,"[2.7930324491726695, 2.7222595044264994, 2.7170459182777407, 2.704312445662389, 2.693446604717317, 2.6858629134803857, 2.669565177267376, 2.6676341446015353, 2.6556792078955285, 2.6478154768436286]"
104,4138 8116 13600 12758 18942 8175 18039 10993 22314 21926,"[3.463869135514128, 3.463646897574814, 3.4409437034417456, 3.440019203339164, 3.3758932123245478, 3.364466363904782, 3.3386275964459866, 3.3281581485888037, 3.3156206341347203, 3.3112106513745796]"
105,18661 15500 8175 19960 16763 6840 13729 14690 21926 10058,"[4.158180073222502, 4.010350920759513, 3.9655939413926338, 3.9054406526268934, 3.8633719646454856, 3.8421996585890734, 3.8383784792309568, 3.791341874127096, 3.7801423996340393, 3.7656943383506327]"
106,15500 4884 8175 11212 13182 20027 12688 17478 6260 9823,"[4.792722793115957, 4.75541789343939, 4.752544180689339, 4.732543147201818, 4.710849352757481, 4.70301653143154, 4.6590514343159, 4.638795763844216, 4.614688250883905, 4.600318092446935]"
107,8266 15092 14935 4221 4884 6645 19574 17311 18911 16600,"[2.8695589086092883, 2.8156023547616895, 2.7658243310156827, 2.7650115793282954, 2.7330277870102555, 2.728802573724535, 2.7245061441501037, 2.7124517674237683, 2.6880076590872792, 2.683465714197912]"
