user_id,item_list,item_values
12,32 16 36 96 138 133 139 182 171 6,0.4687715513491638 0.3650237372732676 0.3606851364304481 0.34147616971675265 0.33605747682466647 0.32088151651829644 0.30196721045714653 0.2959170899248909 0.28327475415849107 0.2719185551236255
13,41 39 55 58 76 3 34 32 15 99,0.34618680414146186 0.33407027637649983 0.29145333375747184 0.26994243612484903 0.23104244054711445 0.2175292483418781 0.19056416023849002 0.16458428581585943 0.15226886251951618 0.15197561975417745
14,6 14 88 9 17 3 5 28 106 30,0.23322954611057478 0.14560564383116542 0.10441634072073655 0.10078988627575865 0.09841427211345219 0.09297722149421808 0.08935903761914733 0.08903245610637014 0.08715660753548735 0.0865748644108384
15,17 28 5 27 47 50 42 37 35 22,0.1739892844708702 0.15735317238867935 0.13862441607681797 0.1379458928317758 0.13765966656193265 0.12291439014392791 0.12116984013565356 0.11445227739978907 0.09519577355471304 0.08992263188554653
16,7 18 15 51 6 87 88 30 36 54,0.16592275901731193 0.029459387029422933 0.02600032221823789 0.025141359450944104 0.025044933560171338 0.024728757060111052 0.023596919447648867 0.022644455894717346 0.021716890752877763 0.021658998600030878
17,4 11 17 44 16 5 27 47 50 42,0.46796368818860357 0.13134009560478394 0.11528309323285069 0.10947643071581405 0.10821505889506725 0.10399568442211853 0.09140275917904733 0.09121976311062342 0.08144665254893807 0.07946551037246562
18,6 88 87 106 51 14 202 72 183 108,0.06328708898724143 0.048784765325434784 0.03808160829007615 0.037401806332116094 0.03670494276537624 0.034369440713923005 0.03383709989578305 0.032992158445077455 0.03222967595024626 0.03154457088351656
19,34 32 99 94 96 138 182 208 66 324,0.3219422352134985 0.2801057567368059 0.25452965150120543 0.2516839588054607 0.20988264832699155 0.20679994190792575 0.18206389530900907 0.1655998426083138 0.14900468645256612 0.13277653107395954
20,34 15 32 99 66 94 60 20 77 22,0.02533140493895911 0.02242929238378355 0.022131662725527308 0.02048082114869595 0.01970309818572874 0.019455396308224585 0.01825825452772384 0.017093021182013675 0.017028751084551652 0.01684472909096563
21,1 11 17 28 27 47 5 50 42 37,0.06191746314267576 0.05264274855414578 0.04691349735312442 0.04181583754872815 0.036845268013756004 0.03656625102443172 0.036287834810673984 0.03264413477150008 0.03258179456985108 0.03030775328001683
23,7 31 41 40 11 39 17 2 55 58,0.09282053612769543 0.09025058839411751 0.08685195771963423 0.08666665873426889 0.08556140385974564 0.08376382034656189 0.07548806599734284 0.07431733744104742 0.07288152409816331 0.06827411064978477
24,6 88 87 106 51 202 72 183 105 108,0.007502026710014678 0.005836874204062971 0.004486649479753566 0.004444181738170171 0.004279474321795084 0.004068257610231305 0.0039200507836797205 0.003882699500881467 0.0037557789313569182 0.003697757716823227
25,7 6 88 87 51 18 106 112 90 107,0.009522158265379038 0.00277250844471903 0.0023827298957960225 0.002236077359565862 0.0021676273511114117 0.0019671662852475185 0.0019441476913976043 0.0018341416355619007 0.0017665271802849787 0.0017642749191317682
26,139 165 254 350 292 269 41 9 3 335,0.6426635179255538 0.46379196566180547 0.4269987641359844 0.4088725332442659 0.4023178053487786 0.3984862538424645 0.397665928280663 0.3937220687094548 0.3832885290660793 0.3558296823208556
28,11 3 5 9 8 47 19 41 37 39,0.4659637685204802 0.3979155614324564 0.37825996287271446 0.35548836214225366 0.347394319024824 0.32271623731240695 0.2755067828251804 0.2735982502829154 0.27311894749002474 0.26513716512834684
29,17 28 27 47 5 50 42 34 9 145,0.1661431126092271 0.15031833493676225 0.13171595688695495 0.13150053796772057 0.1280346033612762 0.11741116471509613 0.1140454619792905 0.08314142525422369 0.08111662891984693 0.07691142762412304
30,6 9 11 3 17 14 28 19 27 47,0.10522048313763624 0.0956767826108744 0.0925607743303251 0.09057166263286273 0.08083324591806615 0.08045649559665131 0.07312510827565032 0.06490937850845445 0.06420111694407972 0.06395793546750565
32,11 7 17 28 27 47 5 50 42 37,0.00994231635861024 0.009265629053661692 0.008731503414061956 0.007899877538361202 0.006922189014820953 0.006910921081114015 0.006771226151638131 0.006175488235112863 0.0059926540878852495 0.005866477397360666
33,22 4 20 33 48 19 65 45 103 66,0.05227216448447304 0.05211532125267208 0.05165307627547867 0.04054665350684058 0.040432485210204046 0.03793206498248473 0.03549156408160859 0.03460775413287057 0.03287224995203753 0.03188666276634388
34,6 88 87 51 106 202 72 183 105 108,0.03388941850696481 0.027188406738689868 0.02091245222021381 0.020474429931117647 0.020251556497624786 0.018946938267902298 0.018498152184667264 0.017943276393056717 0.01747857945531304 0.0172613815909381
35,139 261 146 165 254 347 350 292 316 388,0.1263149076959876 0.09291791522692049 0.09089832282250418 0.0881578297986835 0.08437150392561242 0.0825760688578094 0.08083772189120354 0.07939846712633565 0.07934541238811556 0.0737811892985179
36,4 6 3 14 15 19 38 36 78 59,0.5154022644758106 0.49208499274373724 0.3525360909740212 0.28274166806140466 0.26557088136428225 0.24906295443517504 0.23675762984704338 0.2196061492405462 0.20399226994609412 0.20389714071883613
38,38 93 24 3 203 188 7 14 211 34,0.2229225892491769 0.14318067904084525 0.12555790534877903 0.11204979311971906 0.11121747098946362 0.10213362707871075 0.09980876564411861 0.09955846547614201 0.09815018143970931 0.09675332645706507
39,34 32 99 94 96 138 36 182 208 20,0.3644668966095078 0.3215996331574302 0.28817631023880613 0.28463506346268014 0.23840404322072986 0.2338644407037401 0.2188483969988008 0.20592793963616018 0.1872317733542855 0.169189774631232
40,17 31 3 4 47 58 42 9 76 14,0.604825744631943 0.5995988715345117 0.5124425464427745 0.4818406330381602 0.4785623219156913 0.44995419179387075 0.4165340299944858 0.39053017470052814 0.37397841800140297 0.3055431140799138
41,31 55 58 112 68 18 486 10 30 78,0.6704491204671389 0.5420339418052728 0.505732659642433 0.14855816858787713 0.1350174880591191 0.12892747438154117 0.1272271390919554 0.12652909902966414 0.12610749353294223 0.12564611487829733
42,1 2 4 8 3 15 14 34 88 7,0.15456503761525126 0.1229169607574389 0.1088698361487291 0.06852794729634659 0.06753116604956691 0.06598340372527467 0.05794429207905495 0.057123456701886635 0.056987272911919 0.05368846894448786
43,4 8 34 15 32 7 99 94 3 2,0.1192355237648808 0.07465272745416882 0.07458912830145187 0.0704347041659336 0.06771382169248188 0.06019450011953559 0.05954502284569564 0.05764192256974624 0.052391325448739236 0.05202213469923663
44,7 6 88 87 51 112 90 30 107 26,0.1129080372127719 0.03694216733173742 0.028325488797675023 0.026866287798422456 0.025977461775958686 0.022363321780755882 0.02164294360778745 0.021357355513814184 0.021174329978639297 0.020827707370795766
45,7 15 34 32 6 22 66 99 20 60,0.06276471686287888 0.04332740568808968 0.040453581675254285 0.03683123680300886 0.03568480089581037 0.03486306934078128 0.033436346367752424 0.03271765951312844 0.03205570540679782 0.03114178618129485
46,22 20 48 33 103 19 45 73 80 170,0.10021170645480743 0.09450636223699886 0.0763206012196917 0.07410858687528296 0.06499118219961994 0.06386019094854341 0.06310573516299765 0.06212612898894885 0.05693571336022287 0.05679247739281437
47,15 4 3 96 38 66 29 85 10 101,0.6504655836235989 0.568744708404818 0.4028883685209292 0.3999649003618766 0.3332650593976572 0.29109039721711644 0.27566722232901936 0.27404407845125284 0.26444873357064025 0.25744935272598024
48,17 28 27 47 5 42 37 9 145 136,0.1888786284617739 0.17088743679924148 0.1497386833405035 0.149494621184837 0.14570522253926935 0.12963030275027157 0.12462038161886607 0.0919237600592242 0.08813255916243894 0.07434047592721542
49,34 15 32 99 94 6 96 138 36 38,0.2974524682893571 0.2770943216217167 0.2629395272294329 0.23509231338579614 0.23245323490493705 0.20732180587156115 0.19500804866460048 0.1911821813359072 0.18846898833507808 0.18434218599753568
50,4 31 40 41 39 2 55 58 8 76,0.06979043119190484 0.06098722798415448 0.058544921314598646 0.05848126464449565 0.0565389015773486 0.05313641639403086 0.04922792990060245 0.04567506664840034 0.0407036485396148 0.038639542014798446
51,4 22 19 24 48 33 45 38 65 80,0.6294275323141858 0.37494765017401627 0.34925535670018854 0.28905396005464895 0.27343141313052927 0.2719227332380033 0.25345891336675314 0.2493819872970219 0.24442966270727934 0.2264379179736401
52,32 15 94 96 138 36 182 208 66 324,0.16957851391015186 0.1560012525289185 0.1537244159388745 0.12802428463186194 0.1262444006409553 0.1167451932048241 0.11117841796254799 0.10111325401426567 0.09171747931401596 0.08105438420290748
53,139 133 171 261 146 165 254 347 350 316,0.003153652065629042 0.0026739620413998187 0.002637226389256106 0.0023209564263244184 0.0022823343543228276 0.002210129612843618 0.0021051583430328194 0.0020586203459855164 0.00201588622025635 0.0019854509470028305
54,112 18 54 10 15 30 68 137 36 3,0.13873523978998417 0.10750218491346172 0.08993603717128433 0.08112301734297371 0.07929558180568418 0.07618423581570757 0.07616918436183646 0.07591791273929664 0.07368615954575967 0.0635828079296822
55,6 9 14 11 88 139 17 87 28 106,0.0010223404346351116 0.0007664409595459286 0.0007396336514862173 0.0007297996131229299 0.0007220388890077231 0.0006529150185318487 0.0006428812060868902 0.0005954569710921227 0.0005802109009386416 0.0005794916758762175
56,6 32 88 15 99 51 202 96 87 138,0.39309847414591004 0.27560778283900517 0.27493231385166617 0.2715442513392147 0.253703524237495 0.22538900750127003 0.19710422799284835 0.19451197011790342 0.1917000747363608 0.1912482888049299
57,7 11 17 28 5 27 47 50 42 37,0.2226698033096299 0.20965526609515783 0.18408089097269498 0.16652479423154873 0.15058324983944166 0.14593173697554787 0.14568288846619804 0.13006505547660493 0.1268147610133957 0.12423102958988523
58,7 34 32 99 94 36 1 96 3 138,0.1700152630604824 0.12229468101236769 0.10877833534669905 0.0971235926337609 0.09534954146345213 0.09504069557274962 0.08876867093542279 0.08092313366038154 0.0800862131726049 0.07912805566017435
59,1 133 171 261 146 165 254 347 350 316,0.33357140223267506 0.19693622642584926 0.19043860246568933 0.16627165714092665 0.16503116567793802 0.15969813988095077 0.15003476083992512 0.14631171073032692 0.14317086550230082 0.14305578840011524
60,22347 7415 7407 7408 7409 7410 7411 7412 7413 7414,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62,6 88 51 87 106 202 72 183 105 179,0.08921468410212248 0.07189619820723862 0.05430508623167127 0.05389484342399849 0.051856899602672736 0.05049763036818868 0.050216475801661054 0.04763511293770584 0.04594866524466089 0.04587593147386342
63,20 65 103 45 66 60 77 80 170 116,0.28055008016540667 0.20517355062551182 0.1917950590368971 0.18960870271843466 0.18703811588558766 0.17568543471588055 0.17156633112736522 0.1713512490487358 0.16898736922024987 0.16633868643084965
64,41 3 7 11 5 17 8 28 10 9,1.0045237552726385 0.6947226603549075 0.5805349908380321 0.3676746277637812 0.34088630079566157 0.32425829117096006 0.31106591972917463 0.2916730978050008 0.2727607948531552 0.2675509365496513
65,22347 7415 7407 7408 7409 7410 7411 7412 7413 7414,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67,17 6 28 27 47 42 50 37 38 14,0.3612355252738014 0.3411081380846179 0.31840979387635754 0.2817221167150584 0.27834199820938627 0.25221767043724247 0.24861387729656834 0.23478362651874735 0.21502364318969966 0.18905613142801433
68,6 15 34 38 99 94 36 14 72 96,0.37577913461818474 0.2254886042378769 0.22088084055408752 0.19679309829490813 0.18055833228967927 0.16812065541747048 0.14575386740986127 0.1444349928449363 0.14430205452799844 0.13872664936013393
69,6 38 24 93 19 22 20 203 14 214,0.1966880469561967 0.16528662523970744 0.12036562071733964 0.10931324604011039 0.10183527645863155 0.10147386035809819 0.08256928145647664 0.08148616821589816 0.07856496332716595 0.07406119804223261
70,44 22 19 26 25 88 33 16 74 24,0.3934061713814573 0.34212128065240177 0.30444518176096536 0.3009165677260411 0.29970829584428965 0.2933211193497226 0.28588370288843545 0.27312389377762514 0.26911764597650517 0.259982201390715
72,41 39 58 76 3 486 342 143 592 618,0.4608550127618947 0.4447974482182661 0.3592665519061271 0.29940492610745684 0.20440077098327905 0.09142596168823268 0.07964296574295147 0.06466736698154169 0.06044119886489826 0.04490529490871052
73,112 18 15 54 10 36 68 137 30 3,0.15472359032379168 0.11988661338723305 0.09988287687180497 0.0998112539887632 0.09340168876771657 0.09101936129131032 0.08564081758601874 0.08496083461790357 0.08334520476772801 0.06888351271173383
74,11 6 27 5 47 38 42 37 9 93,0.26992258628141214 0.21752983093957848 0.19015627819797276 0.18970385758599115 0.18701445307791872 0.18262672001532967 0.1724168875854716 0.1550533891189244 0.12339623217757856 0.11923911366918832
75,19 48 33 14 9 11 80 103 74 17,0.6959748607765504 0.6635608569256709 0.6603323224885329 0.5949392369835195 0.5779277124185047 0.5607123950516502 0.5474327605089023 0.5474158322666327 0.5008966685167121 0.4933766689671187
76,31 40 55 76 3 11 22 17 20 5,0.5234026150797442 0.5025313801715314 0.42271722300395437 0.3302111164084279 0.32737399423535557 0.27625472190738815 0.2670612980906273 0.2429378338927859 0.23443603953069053 0.22848287766350425
77,8 7 6 44 3 25 16 19 26 9,0.36061893376021925 0.3021523342320884 0.23276930840800766 0.18480454975234592 0.17537100159799257 0.17140237550634213 0.1637818384735139 0.12881939237443382 0.11723773265783995 0.10407403337126225
78,7 6 38 11 14 17 3 93 28 88,0.379133292953524 0.3503386821024596 0.21174540181096663 0.167821780264165 0.15848304824674658 0.15575298795575787 0.1416801638340637 0.13881767067611459 0.13242784813097624 0.12719347624946029
79,34 8 15 99 94 138 66 16 3 208,0.4297298973160306 0.40420612680384405 0.36618349924069704 0.33909295377422627 0.33520528069526967 0.2753824448211404 0.23752341705051747 0.23250226926390477 0.22276232801157472 0.22051454240889434
81,22 20 48 33 19 103 45 73 4 80,0.16589911334873716 0.1616797219480677 0.12763382560689046 0.12545289463910902 0.11210137544594463 0.10700939185016806 0.10649127659213098 0.10226481472629083 0.10082448380792325 0.09406313210793385
82,55 76 3 486 20 342 33 143 592 103,0.6220233949885953 0.4798280871542787 0.32988790603131624 0.1460036076031067 0.14252033996844055 0.13423010829079624 0.13006735007349568 0.10327189918105975 0.09930660717488626 0.0922107524215523
83,3 6 9 31 14 41 40 39 55 5,0.11702883391243418 0.10510663223772015 0.08668355532453591 0.07441284484853246 0.07375808684481315 0.07152864158855907 0.07148658234587005 0.071181759800804 0.060291475105350545 0.05858367547005241
84,31 41 39 22 3 20 19 24 66 33,0.4444113101567838 0.4254425449805777 0.41027675100887884 0.40594331203319045 0.38333958613339375 0.3737557880517325 0.32114471285801705 0.30623186884711473 0.3017145077048712 0.29818995459480907
85,31 41 39 22 20 34 60 48 32 116,0.5893268557292995 0.5652764259120706 0.5456050260785936 0.2369511286331039 0.22683743617727695 0.18977876140537325 0.1779132769199071 0.17474825050903858 0.17098770476287214 0.16913771596712132
86,11 17 28 27 47 5 42 37 9 145,0.09071234509585628 0.08008564357909453 0.07211446274247775 0.06329943243329057 0.06307852489931512 0.061680049168179894 0.05512286696067688 0.05235429950192642 0.039229470301674015 0.03706519404504138
88,32 99 96 138 60 182 77 3 208 10,0.32117827025477363 0.2758201361436395 0.2291077043843513 0.2241176186293427 0.20068842284620972 0.19736034220788107 0.19700217490486258 0.1863951972982426 0.17943271038708095 0.17847228252048314
89,15 36 34 10 11 3 112 17 18 99,0.2885939609032403 0.23268176895732828 0.2194367248330273 0.20954845556397012 0.20458063746581226 0.2012129441435095 0.19710348841622014 0.1790428275776083 0.1736742913051402 0.17355218051808705
90,34 32 15 99 94 11 96 138 17 66,0.06511910261951578 0.05672147422107841 0.05523485260737012 0.05206642741701813 0.05048381226147493 0.04620104411095746 0.04361464838648427 0.04231231645582577 0.040613432781267535 0.04057048826829773
91,38 7 2 93 14 203 188 214 15 211,0.25157869330462984 0.24384525717178382 0.19039060517772496 0.15909000009158364 0.12183993629476615 0.12045460799855533 0.1110054116807984 0.1067117057695442 0.10570108510222491 0.10487213935563877
92,6 88 51 87 72 202 106 183 179 105,0.0018111681114836087 0.0015161209019104365 0.0011531783938622982 0.0011237767995686417 0.001076175110502318 0.0010686317382578013 0.0010657981716350794 0.001001979402560217 0.0009719850382317834 0.0009635879443296173
93,17 22 28 27 9 5 20 42 50 37,0.3410659807512194 0.31454672272646056 0.30815627979205085 0.27038956882350373 0.26824429783235604 0.2641815935968558 0.2563297176069006 0.24118171255713414 0.24082524058543295 0.22343855824745515
94,11 28 6 5 42 37 14 87 51 9,0.3285579627705486 0.2613151039150025 0.2407061140719087 0.2225527088799351 0.19827772768653198 0.19397254923401655 0.16824275535029076 0.14983149596670714 0.13911320530559013 0.13887598492856443
95,4 112 18 16 44 3 25 54 10 15,0.3852727594110549 0.13708782288248003 0.10760667810537741 0.0974500193845556 0.09589306430112374 0.09427928366624871 0.09089437827251101 0.0900479768567069 0.08774042175808519 0.08217239064658297
96,6 88 87 106 51 72 202 183 14 105,0.02467876299752158 0.018841288471098547 0.014482359501526234 0.014378763975422508 0.013824360330363317 0.013247701111352008 0.01313123514332975 0.012603012330808825 0.012169012482806685 0.012128350438565822
97,4 6 7 88 8 14 87 51 106 72,0.03511595536554638 0.029095260739069647 0.026244290309923486 0.021217900446551103 0.020083799433908003 0.01761438654144836 0.017389119166367466 0.016936804280930137 0.016724123447607347 0.01665904848078727
98,7 15 34 36 32 3 99 94 112 10,0.030403133638882772 0.010273120534473717 0.00864466008375348 0.008226504242919895 0.008025742847793775 0.007834974176193447 0.006900489641935446 0.006723012490975463 0.006273480728709492 0.005847756703216271
99,34 15 99 94 96 138 36 66 3 60,0.3190919530466447 0.2572244853894053 0.25228630395656154 0.24945215669351944 0.21146806154468076 0.20722961296227618 0.18018719640978187 0.14702595971108864 0.13310620778962212 0.12022384070434022
100,15 36 6 3 32 38 112 10 18 99,0.30095105947353495 0.22588455705463223 0.21386177623995836 0.20225325270700936 0.19259190147806568 0.19187722990936926 0.1793853792768893 0.17649142911666707 0.1738131433625228 0.16022339450244266
101,112 18 54 10 15 30 68 36 137 3,0.18137804901575863 0.14285518593257204 0.1201337734206323 0.10816971489148952 0.10261310556097683 0.10192910492698075 0.10063894375326585 0.0996001835196546 0.09922999649168172 0.08732342842411069
102,15 32 3 16 96 138 25 182 10 29,0.4667384448909756 0.41141397041570854 0.3636423939534083 0.3471782836719272 0.2880927986315019 0.2829056731589571 0.27284943440822723 0.2491276146606207 0.23965097554667258 0.2277673578486514
103,7 11 17 9 28 6 5 3 27 14,0.2663388415475651 0.22398510050107476 0.19609388703419878 0.1822582981622518 0.17734622139312103 0.17681236358593833 0.17266920982124967 0.16772927950527974 0.1555756642344515 0.14590236361338932
104,112 18 10 54 15 68 137 36 3 59,0.15569965578080439 0.12829093470121464 0.10510542494716744 0.10410895500671723 0.09100872563137537 0.0879130290065802 0.08727833939377291 0.08296906645554127 0.08003332320953774 0.07332699981089863
105,7 2 15 34 32 36 99 94 66 3,0.0031355607239032047 0.0020839138031965823 0.001262103370675836 0.001145144685938722 0.0011097509975625819 0.0010002625118586252 0.0009052636373430662 0.0008952811339415686 0.0008620057769187135 0.000805644108597995
107,39 55 4 3 20 6 16 34 7 15,0.6580083704651939 0.5741045228292314 0.5732644692127579 0.4229718284235827 0.18169855876803206 0.16868741192363973 0.16095193530759863 0.16020593684042955 0.15963605149943189 0.15683827070251513
108,1 34 15 32 94 36 182 88 208 66,0.3518312909599035 0.2940986527568287 0.25820465703192036 0.24981723237535355 0.2268750139305656 0.1754720382792261 0.16333598486052012 0.1511814613696618 0.1485565926600341 0.13575560416503107
109,1 2 7 88 14 106 87 38 51 70,0.14666318086939661 0.0861134743737902 0.05324952750666871 0.052532426861817125 0.05105136828780267 0.04438685208617353 0.04364309155310865 0.04270335908215907 0.042489172111023314 0.037872633791259165
110,58 76 3 22 33 48 486 9 342 65,0.6095851863599152 0.5080044188142163 0.3548688385039056 0.22109856950116957 0.18765614754950127 0.1667707195134323 0.15767450371837094 0.15579338837686194 0.1510296755305417 0.14173967871182067
111,22 20 48 33 19 65 103 80 73 170,0.10464755295005669 0.0923780991869743 0.07732487053126211 0.07665286181972451 0.07502367616471074 0.06865597484826816 0.06390744205276534 0.06363370514625578 0.06269920354471152 0.058267949922177834
112,6 88 51 87 106 72 183 14 105 179,0.05273093501323547 0.0433092161800787 0.03325052353195821 0.033060491862613194 0.03118263584310184 0.03047117201239588 0.02859903566657203 0.027870488345372618 0.027811721700737847 0.027700676152085834
113,11 17 28 5 27 47 9 50 42 37,0.09842137726310712 0.08653372736469614 0.07827073204717527 0.06872935917665803 0.06860423343552503 0.06847429235731156 0.061483726877301664 0.06113785286232315 0.059950889305482695 0.05685697623060204
114,17 5 27 50 42 37 9 145 18 30,0.4146145018717512 0.32991834768501976 0.3286982517111316 0.29300129795814084 0.28457304361189 0.27991131751749526 0.2281985719026869 0.1919500149235629 0.18033141544802714 0.17287575295718344
115,4 44 16 25 3 6 7 72 52 67,0.35904819812281097 0.08572959872492715 0.07635834604280477 0.05881270506849613 0.0381259917284474 0.03648838380994265 0.03492157422153671 0.033498439124021215 0.032578894713357405 0.029550887441669563
116,7 34 15 32 99 94 96 138 182 208,0.052978093757223704 0.04410336481028747 0.04101289344382181 0.03907579682407898 0.034866295175434395 0.034479720849366194 0.028773346701152388 0.028319681407237583 0.024940469022948438 0.022681615573062582
117,6 88 87 106 202 72 183 105 108 179,0.031666150217551634 0.026726838414328664 0.020610642689578705 0.019277831324775382 0.018612192566005444 0.018511520702590673 0.01741212156727902 0.01714218310459423 0.01700857870695269 0.01698831665154981
118,7 112 18 30 87 51 15 6 10 107,0.29669022236088616 0.05706055624402918 0.05105918320407882 0.03834336691374783 0.037847921196135705 0.03722250980761424 0.035717668310447405 0.03412669104513531 0.03367857587086274 0.03275208558751255
119,7 6 88 51 87 14 26 15 106 72,0.0688213957517679 0.04600453756580212 0.039435600883086654 0.0335518392854794 0.03204992346954595 0.03025491935513456 0.029121956403116597 0.028760173797261892 0.028533973711268493 0.028049510682508237
121,11 17 9 139 28 5 27 47 133 171,0.006565321368429026 0.005772620620742878 0.005282754041048941 0.00526262663114129 0.005222367135787863 0.004842971369116483 0.004575040092043531 0.004569042998894542 0.004443171297338749 0.004401940649172518
122,17 28 5 3 27 9 40 6 55 58,0.7992689166246559 0.7205804290779094 0.6839983799729461 0.6350029341762135 0.632388690863343 0.5411969458046704 0.49149597591602767 0.4597479319469442 0.41332653098068445 0.3868617026168558
123,20 33 65 19 103 45 73 80 4 170,0.17872388051509233 0.1411223538868097 0.13005255420523393 0.126037254471802 0.12109705462323823 0.12009264607646723 0.11598444070063872 0.10634508074671807 0.10605997937452662 0.10580365373026093
124,34 32 94 96 138 3 208 10 29 66,0.479920355458736 0.4443616097527421 0.37269633516664297 0.3111204474386334 0.30539758162273417 0.29993822084204397 0.2445830344182075 0.22857518675131736 0.22738182331535808 0.22257622737349742
126,6 88 87 106 51 14 72 202 183 4,0.07200649343648947 0.05462691672257576 0.041942896908112336 0.04174325183850588 0.0402593739214482 0.04012447204396284 0.03989853276140658 0.03808330460451623 0.036603198921410174 0.03657681691685587
127,40 41 39 55 11 5 47 42 50 37,0.5502391462405621 0.5500501150213283 0.5295890668709017 0.4620088263331462 0.45777185797470393 0.3558010480188904 0.31656861044765405 0.29075873142946757 0.2825020192435558 0.2746863803227708
128,11 28 5 50 42 37 9 145 35 122,0.33201063989943447 0.26407752358068065 0.2249005877408531 0.20626611314161075 0.20032441387608396 0.1903508825825839 0.14064339998222472 0.13511404746363367 0.10684741462611952 0.10109170553792499
129,31 40 32 3 15 58 96 138 76 36,0.554881176327871 0.5329150218990742 0.5324344644249501 0.506647095915923 0.48986371300431863 0.4152188201702529 0.38893995689581323 0.3826560267187337 0.3648135677659044 0.348388037954956
130,6 8 88 44 14 51 87 106 202 26,0.42260171790638906 0.36661493566571324 0.32089787519575563 0.25138256407102094 0.24610360093655445 0.24401530058899884 0.2388871060686315 0.23210712506339645 0.22576930928551597 0.22547508096044863
131,55 17 5 27 47 50 42 9 14 23,0.8767997897613942 0.43154087222550486 0.41018795685170606 0.34204154679808 0.34137193459850995 0.305344661462 0.29678298445921203 0.2808616503205408 0.24682530598503036 0.23266163896498168
132,139 133 171 261 254 347 316 292 318 269,0.11656287172310587 0.09875577585610007 0.09745624287118332 0.08566082490724908 0.07786688010355462 0.07608814797048542 0.07321339887625936 0.07309803495951388 0.0729293321591687 0.07041077783775018
134,65 80 73 170 95 115 24 116 212 141,0.43303021354127147 0.39036584314535927 0.38975483106321407 0.3526046119073016 0.33604494379735295 0.30797346756917265 0.29664057110024833 0.29136528335043144 0.2890378277734147 0.2854474413979766
135,1 2 7 14 20 22 88 24 38 19,0.18467970272973006 0.11645829251015101 0.09471179785223598 0.06871040634870644 0.05964766257902233 0.05956472069177024 0.059155627653917936 0.05309035766332173 0.05232681674559701 0.05193563166828483
136,31 40 41 39 2 55 4 58 76 1,0.06298446799154522 0.06050980631665435 0.06046448112150142 0.058436608292462215 0.05407008264017112 0.050881502179092965 0.04766469331954893 0.04731567319347333 0.04020086169560748 0.0326222736848448
137,17 22 9 28 20 5 1 27 47 33,0.15862208769636366 0.15659168217099725 0.15552062829733992 0.14212093488144756 0.13679514965021572 0.13380395495486677 0.12687087953211845 0.12509222692937266 0.124298311146066 0.11348793982268528
138,18 10 54 30 15 68 137 36 3 59,0.15241167582305312 0.1252941979439408 0.123157111342916 0.11439580769539892 0.10727346851814043 0.10359687876112535 0.1031911026946017 0.09766441716001556 0.09279816177376533 0.08750748935792699
139,31 22 3 33 58 6 45 65 8 76,0.5921843832361864 0.5849183055207534 0.4961192896379603 0.4937009371270707 0.44314581203187314 0.4051305116516867 0.3980806953482077 0.38623098867117667 0.3751091168328949 0.3695093896852267
